# This is planckarc_pos1-comb1.txt the combined spectrum created by combine_mage_spectra.pro from planckarc_pos1.ls
# Total exptime should be        13500.000 s  (       3.7500000 hr)
# 4675.0 +/- 192.0 was the median spectral resolution and MAD, R===lambda / (FWHM)
# Created from:  Individual filenames, barycentric correction(km/s), exptime(s)
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-a-comb.txt       4.6300000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-b-comb.txt       4.6000000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-c-comb.txt       4.5800000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-comb.txt       4.5500000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/psz1550-7811_1e-comb.txt       4.5100000       2700.0000
#  Wavelengths have been converted to vacuum barycentric Angstroms
#  Flux density (fnu)   units are erg/s/cm^2/Hz.  Note:  it is fnu, NOT flambda
#
# MW reddening correction of E(B-V)=0.09427 , Rv=3.1, CCM has been applied
wave	fnu	noise	obswave	avgsky	fnuspec1	dfnuspec1	fnuspec2	dfnuspec2	fnuspec3	dfnuspec3	fnuspec4	dfnuspec4	fnuspec5	dfnuspec5	MWredcor
 3.20008040E+03	 5.62454947E-28	 1.82105666E-27	 3.19910630E+03	 2.49500000E-27	 1.25200000E-28	 2.90000000E-27	-9.86000000E-28	 2.87500000E-27	-1.35400000E-28	 3.17900000E-27	 9.27700000E-28	 1.55000000E-27	 1.97600000E-23	 5.83900000E-23	 1.58215175E+00
 3.20032230E+03	 1.49508005E-27	 1.79567816E-27	 3.19934820E+03	 1.32200000E-27	 3.10700000E-27	 2.86600000E-27	-1.06600000E-27	 2.91500000E-27	 2.31600000E-27	 3.15600000E-27	 5.68400000E-28	 1.51500000E-27	 3.08700000E-23	 5.74900000E-23	 1.58209530E+00
 3.20056440E+03	-2.02026358E-27	 1.74657086E-27	 3.19959020E+03	 2.04700000E-27	-2.04700000E-28	 2.93200000E-27	-5.38000000E-27	 2.78400000E-27	 1.12200000E-27	 3.01200000E-27	-9.75300000E-28	 1.46700000E-27	-1.26400000E-23	 5.51300000E-23	 1.58203882E+00
 3.20080640E+03	-6.86263968E-29	 1.84933743E-27	 3.19983210E+03	 4.73000000E-27	-1.05600000E-27	 2.95400000E-27	-3.59700000E-28	 3.16600000E-27	 4.32900000E-28	 3.10600000E-27	 1.94300000E-28	 1.55500000E-27	 5.06900000E-24	 5.32600000E-23	 1.58198241E+00
 3.20104840E+03	 2.69402001E-27	 1.80814144E-27	 3.20007410E+03	 1.71600000E-27	 4.45200000E-27	 2.97100000E-27	-1.43800000E-27	 3.02500000E-27	 3.31700000E-27	 3.02500000E-27	 1.37000000E-27	 1.51800000E-27	 2.98900000E-23	 4.95600000E-23	 1.58192602E+00
 3.20129040E+03	-9.78860947E-28	 1.77327589E-27	 3.20031600E+03	 3.07200000E-27	 4.89300000E-27	 2.91700000E-27	-7.92300000E-27	 2.86600000E-27	-1.88800000E-28	 2.92800000E-27	-1.83900000E-28	 1.50700000E-27	 1.04300000E-23	 4.58400000E-23	 1.58186966E+00
 3.20153250E+03	 9.02582677E-28	 1.81908531E-27	 3.20055800E+03	 3.85700000E-27	 1.11600000E-27	 2.82500000E-27	 1.88100000E-28	 3.04300000E-27	-4.52400000E-28	 3.14300000E-27	 7.52200000E-28	 1.54000000E-27	 1.81300000E-23	 4.49200000E-23	 1.58181331E+00
 3.20177440E+03	 4.78797856E-27	 1.80636654E-27	 3.20079990E+03	 1.11600000E-27	 8.90100000E-27	 3.18700000E-27	 1.25100000E-28	 2.73200000E-27	-1.23700000E-27	 2.95400000E-27	 3.74100000E-27	 1.54400000E-27	-6.08700000E-24	 4.39200000E-23	 1.58175704E+00
 3.20201650E+03	 4.03017352E-27	 1.86008008E-27	 3.20104190E+03	 3.86800000E-27	 2.01300000E-27	 3.05100000E-27	 5.59200000E-27	 3.14400000E-27	 4.18000000E-27	 3.18500000E-27	 1.55900000E-27	 1.55100000E-27	-1.13600000E-23	 4.21100000E-23	 1.58170075E+00
 3.20225850E+03	 3.53339385E-27	 1.78409502E-27	 3.20128380E+03	 1.69000000E-27	 3.73800000E-28	 2.81600000E-27	 7.79500000E-28	 2.86900000E-27	 6.73200000E-27	 3.12200000E-27	 2.11800000E-27	 1.51500000E-27	 7.21200000E-24	 3.93800000E-23	 1.58164452E+00
 3.20250050E+03	 2.10351246E-27	 1.79826591E-27	 3.20152580E+03	 3.32300000E-27	 5.97000000E-27	 2.98800000E-27	-2.63200000E-27	 2.86200000E-27	 4.46100000E-28	 3.07300000E-27	 1.46200000E-27	 1.51900000E-27	 3.85200000E-24	 3.70600000E-23	 1.58158831E+00
 3.20274250E+03	 1.54436613E-27	 1.79345745E-27	 3.20176770E+03	 3.81900000E-27	-6.25100000E-28	 2.83900000E-27	 1.73000000E-27	 2.97500000E-27	 4.19600000E-27	 3.16900000E-27	 5.07200000E-28	 1.50600000E-27	 1.10100000E-23	 3.66300000E-23	 1.58153214E+00
 3.20298460E+03	 2.59836502E-27	 1.80288261E-27	 3.20200970E+03	 3.70700000E-27	 6.43800000E-27	 3.02200000E-27	 5.45800000E-28	 2.97100000E-27	-8.53100000E-28	 3.10800000E-27	 1.32000000E-27	 1.50300000E-27	 2.96200000E-23	 3.65500000E-23	 1.58147597E+00
 3.20322650E+03	-4.62090890E-28	 1.80756293E-27	 3.20225160E+03	 6.07300000E-27	 9.96100000E-28	 2.97200000E-27	 1.33500000E-27	 2.96700000E-27	-1.41100000E-27	 3.09200000E-27	-7.84300000E-28	 1.51800000E-27	 1.09200000E-23	 3.52800000E-23	 1.58141988E+00
 3.20346860E+03	-2.59343660E-27	 1.73791879E-27	 3.20249360E+03	 5.21800000E-27	-4.60800000E-27	 2.61100000E-27	 1.21300000E-27	 2.95700000E-27	-3.46000000E-27	 3.10200000E-27	-9.96100000E-28	 1.46900000E-27	 1.07000000E-23	 3.41200000E-23	 1.58136378E+00
 3.20371060E+03	 9.63016407E-28	 1.71255627E-27	 3.20273550E+03	 2.26600000E-27	 8.85400000E-28	 2.79300000E-27	-3.09500000E-27	 2.67900000E-27	 4.32700000E-27	 3.04900000E-27	 7.78400000E-28	 1.44800000E-27	 9.39600000E-24	 3.20700000E-23	 1.58130773E+00
 3.20395260E+03	 1.29346390E-27	 1.74095813E-27	 3.20297750E+03	 3.34100000E-27	-2.04800000E-27	 2.70200000E-27	-3.03100000E-27	 2.86300000E-27	 4.61000000E-27	 3.08100000E-27	 1.82300000E-27	 1.47400000E-27	-9.30600000E-24	 2.99500000E-23	 1.58125171E+00
 3.20419460E+03	 6.57619300E-28	 1.72034094E-27	 3.20321940E+03	 3.24400000E-27	 4.53000000E-28	 2.72400000E-27	-2.04500000E-27	 2.83300000E-27	 1.88900000E-27	 3.02200000E-27	 7.10900000E-28	 1.45000000E-27	 3.24400000E-23	 3.10000000E-23	 1.58119572E+00
 3.20443660E+03	 2.57567667E-27	 1.73292918E-27	 3.20346140E+03	 2.63300000E-27	 6.31900000E-28	 2.94700000E-27	 3.43400000E-27	 2.75000000E-27	 1.97800000E-27	 3.06600000E-27	 1.29300000E-27	 1.44400000E-27	-1.75600000E-23	 2.97300000E-23	 1.58113976E+00
 3.20467860E+03	 4.13769639E-27	 1.76765172E-27	 3.20370330E+03	 3.18500000E-27	 4.36000000E-27	 2.95300000E-27	 4.89200000E-27	 3.03800000E-27	 1.91900000E-27	 2.90800000E-27	 1.82500000E-27	 1.47600000E-27	-2.99400000E-23	 2.69800000E-23	 1.58108383E+00
 3.20492070E+03	 6.54703659E-27	 1.73280659E-27	 3.20394530E+03	 6.91200000E-28	 7.04900000E-28	 2.74200000E-27	 5.46300000E-27	 2.90300000E-27	 4.62800000E-27	 3.01800000E-27	 4.66500000E-27	 1.45800000E-27	 8.08200000E-24	 2.64400000E-23	 1.58102791E+00
 3.20516260E+03	 2.35248644E-27	 1.72009761E-27	 3.20418720E+03	 3.17000000E-27	-8.11500000E-28	 2.60500000E-27	 2.50100000E-28	 2.84000000E-27	 5.05200000E-27	 3.12800000E-27	 1.75900000E-27	 1.45700000E-27	 1.04200000E-23	 2.58000000E-23	 1.58097207E+00
 3.20540460E+03	 3.26933477E-27	 1.70580862E-27	 3.20442910E+03	 2.22300000E-27	 4.50900000E-27	 2.78100000E-27	 2.61400000E-28	 2.74400000E-27	-2.67200000E-28	 2.92000000E-27	 2.48200000E-27	 1.44400000E-27	-1.58000000E-24	 2.46400000E-23	 1.58091623E+00
 3.20564670E+03	 1.51319958E-27	 1.70100580E-27	 3.20467110E+03	 3.37800000E-27	 3.26500000E-27	 2.77300000E-27	 7.93000000E-28	 2.86300000E-27	 2.02700000E-27	 2.89100000E-27	 1.29000000E-28	 1.42500000E-27	 5.15000000E-24	 2.41800000E-23	 1.58086041E+00
 3.20588860E+03	 3.36869472E-27	 1.74836995E-27	 3.20491300E+03	 4.22000000E-27	 4.59300000E-27	 2.95000000E-27	 4.43100000E-28	 2.85800000E-27	 2.61200000E-27	 2.95800000E-27	 1.84900000E-27	 1.46600000E-27	 1.52700000E-23	 2.35200000E-23	 1.58080466E+00
 3.20613070E+03	 3.07139510E-27	 1.67401308E-27	 3.20515500E+03	 1.94300000E-27	 3.06500000E-27	 2.65800000E-27	 7.53600000E-28	 2.83600000E-27	 6.17200000E-30	 2.79100000E-27	 2.42200000E-27	 1.41900000E-27	 5.93300000E-24	 2.21300000E-23	 1.58074889E+00
 3.20637270E+03	 3.62136808E-28	 1.62337190E-27	 3.20539690E+03	 2.08400000E-27	 2.17200000E-27	 2.56000000E-27	-1.77000000E-27	 2.74200000E-27	 1.56400000E-27	 2.81100000E-27	-1.43000000E-28	 1.36600000E-27	 2.22200000E-24	 2.25200000E-23	 1.58069318E+00
 3.20661470E+03	 2.01847409E-27	 1.65018555E-27	 3.20563890E+03	 2.20500000E-27	 3.55600000E-27	 2.71000000E-27	-1.63400000E-27	 2.54000000E-27	 9.58700000E-28	 2.91200000E-27	 1.62800000E-27	 1.40300000E-27	 1.80400000E-23	 2.24700000E-23	 1.58063750E+00
 3.20685670E+03	-2.53209213E-27	 1.63274105E-27	 3.20588080E+03	 4.69400000E-27	-2.12200000E-27	 2.60100000E-27	 1.40100000E-28	 2.70000000E-27	-1.95900000E-27	 2.86200000E-27	-1.82600000E-27	 1.37400000E-27	 3.22900000E-23	 2.07100000E-23	 1.58058185E+00
 3.20709880E+03	 4.44127865E-27	 1.68326041E-27	 3.20612280E+03	 2.29200000E-27	 5.15700000E-27	 2.85400000E-27	 4.07900000E-27	 2.77100000E-27	-2.40300000E-29	 2.86400000E-27	 2.59700000E-27	 1.40500000E-27	 2.63100000E-23	 1.94300000E-23	 1.58052621E+00
